Life expectancy ,Adult Mortality,infant deaths,Alcohol,Population,Education
65,263,62,0.01,33736494,10.1
59.9,271,64,0.01,327582,10
59.9,268,66,0.01,31731688,9.9
59.5,272,69,0.01,3696958,9.8
59.2,275,71,0.01,2978599,9.5
58.8,279,74,0.01,2883167,9.2
58.6,281,77,0.01,284331,8.9
58.1,287,80,0.03,2729431,8.7
57.5,295,82,0.02,26616792,8.4
57.3,295,84,0.03,2589345,8.1
57.3,291,85,0.02,257798,7.9
57,293,87,0.02,24118979,6.8
56.7,295,87,0.01,2364851,6.5
56.2,3,88,0.01,21979923,6.2
55.3,316,88,0.01,2966463,5.9
54.8,321,88,0.01,293756,5.5
77.8,74,0,4.6,28873,14.2
77.5,8,0,4.51,288914,14.2
77.2,84,0,4.76,289592,14.2
76.9,86,0,5.14,2941,14.2
76.6,88,0,5.37,295195,13.3
76.2,91,1,5.28,291321,12.5
76.1,91,1,5.79,2927519,12.2
75.3,1,1,5.61,2947314,12
75.9,9,1,5.58,29717,11.6
74.2,99,1,5.31,2992547,11.4
73.5,15,1,5.16,311487,10.8
73,17,1,4.54,326939,10.9
72.8,18,1,4.29,339616,10.7
73.3,15,1,3.73,3511,10.7
73.6,14,1,4.25,36173,10.6
72.6,11,1,3.66,38927,10.7
75.6,19,21,,39871528,14.4
75.4,11,21,0.01,39113313,14.4
75.3,112,21,0.53,38338562,14.4
75.1,113,21,0.66,37565847,14.4
74.9,116,21,0.56,36819558,14
74.7,119,21,0.45,36117637,13.6
74.4,123,20,0.5,3546576,13.1
74.1,126,20,0.46,3486715,12.6
73.8,129,20,0.44,34376,12.3
73.4,132,20,0.36,33777915,12.3
72.9,136,19,0.5,33288437,12
72.3,14,19,0.45,3283196,11.7
71.7,146,20,0.34,3243514,11.5
71.6,145,20,0.36,3199546,11.1
71.4,145,20,0.23,31592153,10.9
71.3,145,21,0.25,3118366,10.7
52.4,335,66,,2785935,11.4
51.7,348,67,8.33,2692466,11.4
51.1,355,69,8.1,2599834,11.4
56,358,72,8.24,259615,10.3
51,361,75,8.06,24218565,9.4
49.6,365,78,7.8,23369131,9
49.1,369,81,7.01,22549547,8.5
48.7,371,84,7.07,2175942,8.1
48.2,375,87,6.35,2997687,7.7
47.7,381,90,5.84,2262399,7.2
